Timestamp,LeftHit,LeftHitObject,LeftHitTag,LeftHitX,LeftHitY,LeftHitZ,RightHit,RightHitObject,RightHitTag,RightHitX,RightHitY,RightHitZ
0.0000,True,Wall,Untagged,11.4682,-2.5849,6.8000,True,Wall,Untagged,10.1569,-2.5350,6.8000
0.0112,True,Wall,Untagged,11.2108,-2.0643,6.8000,True,Wall,Untagged,9.9227,-2.0201,6.8000
0.0220,True,Wall,Untagged,10.8826,-1.3285,6.8000,True,Wall,Untagged,9.6247,-1.2928,6.8000
0.0331,True,Wall,Untagged,10.7996,-1.2939,6.8000,True,Wall,Untagged,9.5463,-1.2562,6.8000
0.0439,True,Wall,Untagged,10.4899,-1.2353,6.8000,True,Wall,Untagged,9.2506,-1.1961,6.8000
0.0554,True,Wall,Untagged,10.4082,-1.2325,6.8000,True,Wall,Untagged,9.1728,-1.1904,6.8000
0.0663,True,Wall,Untagged,10.2965,-1.1664,6.8000,True,Wall,Untagged,9.0675,-1.1221,6.8000
0.0773,True,Wall,Untagged,10.1731,-1.0738,6.8000,True,Wall,Untagged,8.9516,-1.0279,6.8000
0.0888,True,Wall,Untagged,10.0630,-1.1448,6.8000,True,Wall,Untagged,8.8451,-1.0956,6.8000
0.0999,True,Wall,Untagged,10.1235,-1.0645,6.8000,True,Wall,Untagged,8.9064,-1.0155,6.8000
0.1110,True,Wall,Untagged,10.0271,-1.0245,6.8000,True,Wall,Untagged,8.8157,-0.9757,6.8000
0.1225,True,Wall,Untagged,10.0418,-0.9720,6.8000,True,Wall,Untagged,8.8324,-0.9246,6.8000
0.1338,True,Wall,Untagged,9.9128,-0.8855,6.8000,True,Wall,Untagged,8.7113,-0.8389,6.8000
0.1442,True,Wall,Untagged,9.7826,-0.7960,6.8000,True,Wall,Untagged,8.5890,-0.7500,6.8000
0.1556,True,Wall,Untagged,9.6563,-0.7426,6.8000,True,Wall,Untagged,8.4696,-0.6963,6.8000
0.1667,True,Wall,Untagged,9.1633,-0.7935,6.8000,True,Wall,Untagged,7.9938,-0.7457,6.8000
0.1777,True,Wall,Untagged,2.5036,-1.9593,6.8000,True,Wall,Untagged,1.4693,-1.9016,6.8000
0.1890,True,Wall,Untagged,2.3866,-1.8763,6.8000,True,Wall,Untagged,1.3558,-1.8173,6.8000
0.2041,True,Wall,Untagged,1.7024,-1.9435,6.8000,True,Wall,Untagged,0.6789,-1.8814,6.8000
0.2112,True,Wall,Untagged,1.5853,-2.1389,6.8000,True,Wall,Untagged,0.5582,-2.0726,6.8000
0.2222,True,Wall,Untagged,1.4846,-2.1050,6.8000,True,Wall,Untagged,0.4592,-2.0368,6.8000
0.2334,True,Wall,Untagged,2.4982,-2.1689,6.8000,True,Wall,Untagged,1.4583,-2.0967,6.8000
0.2448,True,Wall,Untagged,3.8582,-2.3992,6.8000,True,Wall,Untagged,2.7915,-2.3223,6.8000
0.2559,True,Wall,Untagged,3.7729,-2.4017,6.8000,True,Wall,Untagged,2.7078,-2.3238,6.8000
0.2670,True,Wall,Untagged,7.6408,-2.5951,6.8000,True,Wall,Untagged,6.4867,-2.5111,6.8000
0.2782,True,Wall,Untagged,7.5586,-2.5516,6.8000,True,Wall,Untagged,6.4087,-2.4686,6.8000
0.2892,True,Wall,Untagged,7.3551,-1.0696,6.8000,True,Wall,Untagged,6.2455,-1.0014,6.8000
0.3009,True,Wall,Untagged,7.2776,-1.0152,6.8000,True,Wall,Untagged,6.1720,-0.9486,6.8000
0.3126,True,Wall,Untagged,7.2077,-0.9632,6.8000,True,Wall,Untagged,6.1058,-0.8994,6.8000
0.3245,True,Wall,Untagged,7.7246,-0.9523,6.8000,True,Wall,Untagged,6.6106,-0.8905,6.8000
0.3350,True,Wall,Untagged,7.7991,-1.5208,6.8000,True,Wall,Untagged,6.6718,-1.4568,6.8000
0.3445,True,Wall,Untagged,7.8316,-1.5775,6.8000,True,Wall,Untagged,6.7034,-1.5165,6.8000
0.3559,True,Wall,Untagged,7.8951,-1.5626,6.8000,True,Wall,Untagged,6.7667,-1.5052,6.8000
0.3668,True,Wall,Untagged,7.8368,-1.5346,6.8000,True,Wall,Untagged,6.7115,-1.4804,6.8000
0.3779,True,Wall,Untagged,8.0288,-1.5909,6.8000,True,Wall,Untagged,6.8983,-1.5382,6.8000
0.3893,True,Wall,Untagged,7.9846,-1.5759,6.8000,True,Wall,Untagged,6.8563,-1.5251,6.8000
0.4027,True,Wall,Untagged,7.9891,-1.8509,6.8000,True,Wall,Untagged,6.8551,-1.7993,6.8000
0.4114,True,Wall,Untagged,7.9548,-1.8253,6.8000,True,Wall,Untagged,6.8227,-1.7743,6.8000
0.4222,True,Wall,Untagged,7.9319,-1.8037,6.8000,True,Wall,Untagged,6.8012,-1.7536,6.8000
0.4336,True,Wall,Untagged,7.8667,-1.5412,6.8000,True,Wall,Untagged,6.7440,-1.4934,6.8000
0.4448,True,Wall,Untagged,7.1832,-1.4130,6.8000,True,Wall,Untagged,6.0802,-1.3674,6.8000
0.4560,True,Wall,Untagged,4.5677,-1.8607,6.8000,True,Wall,Untagged,3.5069,-1.8141,6.8000
0.4672,True,Wall,Untagged,4.5513,-1.8592,6.8000,True,Wall,Untagged,3.4909,-1.8116,6.8000
0.4784,True,Wall,Untagged,2.6051,-1.7613,6.8000,True,Wall,Untagged,1.5741,-1.7135,6.8000
0.4896,True,Wall,Untagged,2.6023,-1.7891,6.8000,True,Wall,Untagged,1.5707,-1.7397,6.8000
0.5006,True,Wall,Untagged,2.6084,-2.2801,6.8000,True,Wall,Untagged,1.5648,-2.2268,6.8000
0.5118,True,Wall,Untagged,6.4049,-3.6115,6.8000,True,Wall,Untagged,5.2655,-3.5462,6.8000
0.5229,True,Wall,Untagged,7.0619,-3.6593,6.8000,True,Wall,Untagged,5.9070,-3.5928,6.8000
0.5342,True,Wall,Untagged,6.9763,-2.6877,6.8000,True,Wall,Untagged,5.8483,-2.6276,6.8000
0.5454,True,Wall,Untagged,6.9787,-2.7224,6.8000,True,Wall,Untagged,5.8497,-2.6616,6.8000
0.5563,True,Wall,Untagged,6.8794,-1.9384,6.8000,True,Wall,Untagged,5.7715,-1.8818,6.8000
0.5675,True,Wall,Untagged,6.8870,-2.0048,6.8000,True,Wall,Untagged,5.7772,-1.9465,6.8000
0.5788,True,Wall,Untagged,6.8914,-2.0738,6.8000,True,Wall,Untagged,5.7799,-2.0136,6.8000
