Timestamp,LeftHit,LeftHitObject,LeftHitTag,LeftHitX,LeftHitY,LeftHitZ,RightHit,RightHitObject,RightHitTag,RightHitX,RightHitY,RightHitZ
0.0000,True,Wall,Untagged,0.2502,7.2610,6.8000,True,Wall,Untagged,-0.6790,7.2554,6.8000
0.0115,True,Wall,Untagged,0.2504,7.2591,6.8000,True,Wall,Untagged,-0.6788,7.2535,6.8000
0.0221,True,Wall,Untagged,0.2672,7.3315,6.8000,True,Wall,Untagged,-0.6621,7.3264,6.8000
0.0330,True,Wall,Untagged,0.2743,7.3292,6.8000,True,Wall,Untagged,-0.6550,7.3245,6.8000
0.0440,True,Wall,Untagged,0.3338,7.4159,6.8000,True,Wall,Untagged,-0.5957,7.4113,6.8000
0.0554,True,Wall,Untagged,0.3419,7.4114,6.8000,True,Wall,Untagged,-0.5876,7.4069,6.8000
0.0664,True,Wall,Untagged,0.3043,7.4007,6.8000,True,Wall,Untagged,-0.6252,7.3961,6.8000
0.0775,True,Wall,Untagged,0.3047,7.3964,6.8000,True,Wall,Untagged,-0.6247,7.3915,6.8000
0.0886,True,Wall,Untagged,0.3044,7.3911,6.8000,True,Wall,Untagged,-0.6250,7.3859,6.8000
0.0999,True,Wall,Untagged,0.3416,7.4384,6.8000,True,Wall,Untagged,-0.5879,7.4331,6.8000
0.1111,True,Wall,Untagged,0.3835,7.4350,6.8000,True,Wall,Untagged,-0.5460,7.4298,6.8000
0.1218,True,Wall,Untagged,0.3875,7.4677,6.8000,True,Wall,Untagged,-0.5421,7.4628,6.8000
0.1331,True,Wall,Untagged,0.3892,7.4619,6.8000,True,Wall,Untagged,-0.5403,7.4573,6.8000
0.1443,True,Wall,Untagged,0.4368,7.4282,6.8000,True,Wall,Untagged,-0.4927,7.4240,6.8000
0.1554,True,Wall,Untagged,0.4410,7.4213,6.8000,True,Wall,Untagged,-0.4884,7.4175,6.8000
0.1664,True,Wall,Untagged,0.4380,7.4133,6.8000,True,Wall,Untagged,-0.4914,7.4098,6.8000
0.1778,True,Wall,Untagged,0.4339,7.4044,6.8000,True,Wall,Untagged,-0.4955,7.4009,6.8000
