Timestamp,LeftHit,LeftHitObject,LeftHitTag,LeftHitX,LeftHitY,LeftHitZ,RightHit,RightHitObject,RightHitTag,RightHitX,RightHitY,RightHitZ
0.0000,True,Wall,Untagged,0.8914,6.9181,-0.5000,True,Wall,Untagged,0.3487,6.9104,-0.5000
0.0145,True,Wall,Untagged,0.8944,6.9112,-0.5000,True,Wall,Untagged,0.3517,6.9033,-0.5000
0.0279,True,Wall,Untagged,0.9364,6.9370,-0.5000,True,Wall,Untagged,0.3934,6.9290,-0.5000
0.0418,True,Wall,Untagged,0.9371,6.9352,-0.5000,True,Wall,Untagged,0.3941,6.9272,-0.5000
0.0558,True,Wall,Untagged,0.9199,6.9363,-0.5000,True,Wall,Untagged,0.3770,6.9283,-0.5000
0.0697,True,Wall,Untagged,0.9738,6.9388,-0.5000,True,Wall,Untagged,0.4306,6.9307,-0.5000
0.0836,True,Wall,Untagged,0.9219,6.9375,-0.5000,True,Wall,Untagged,0.3790,6.9292,-0.5000
0.0976,True,Wall,Untagged,0.9748,6.9191,-0.5000,True,Wall,Untagged,0.4316,6.9107,-0.5000
0.1116,True,Wall,Untagged,0.9758,6.9187,-0.5000,True,Wall,Untagged,0.4325,6.9103,-0.5000
0.1255,True,Wall,Untagged,0.9756,6.9166,-0.5000,True,Wall,Untagged,0.4324,6.9083,-0.5000
0.1391,True,Wall,Untagged,1.0071,6.9358,-0.5000,True,Wall,Untagged,0.4636,6.9274,-0.5000
0.1531,True,Wall,Untagged,0.9752,6.9682,-0.5000,True,Wall,Untagged,0.4319,6.9596,-0.5000
0.1670,True,Wall,Untagged,0.9723,6.9717,-0.5000,True,Wall,Untagged,0.4290,6.9632,-0.5000
0.1849,True,Wall,Untagged,0.9920,6.9750,-0.5000,True,Wall,Untagged,0.4485,6.9667,-0.5000
0.1950,True,Wall,Untagged,0.9894,6.9771,-0.5000,True,Wall,Untagged,0.4460,6.9690,-0.5000
0.2089,True,Wall,Untagged,0.9989,6.9309,-0.5000,True,Wall,Untagged,0.4555,6.9230,-0.5000
