Timestamp,LeftHit,LeftHitObject,LeftHitTag,LeftHitX,LeftHitY,LeftHitZ,RightHit,RightHitObject,RightHitTag,RightHitX,RightHitY,RightHitZ
3.1988,True,Wall,Untagged,2.2278,-2.6505,6.8000,True,Wall,Untagged,1.1736,-2.6767,6.8000
3.2308,True,Wall,Untagged,2.3011,-2.6484,6.8000,True,Wall,Untagged,1.2467,-2.6737,6.8000
3.2434,True,Wall,Untagged,2.1918,-2.6222,6.8000,True,Wall,Untagged,1.1386,-2.6484,6.8000
3.2545,True,Wall,Untagged,2.2306,-2.6259,6.8000,True,Wall,Untagged,1.1773,-2.6529,6.8000
3.2661,True,Wall,Untagged,2.2297,-2.6387,6.8000,True,Wall,Untagged,1.1761,-2.6667,6.8000
3.2775,True,Wall,Untagged,2.2235,-2.6518,6.8000,True,Wall,Untagged,1.1697,-2.6810,6.8000
3.2892,True,Wall,Untagged,2.2385,-2.3524,6.8000,True,Wall,Untagged,1.1919,-2.3822,6.8000
3.3059,True,Wall,Untagged,2.3276,-2.5916,6.8000,True,Wall,Untagged,1.2750,-2.6225,6.8000
3.3118,True,Wall,Untagged,2.3241,-2.6008,6.8000,True,Wall,Untagged,1.2713,-2.6323,6.8000
3.3234,True,Wall,Untagged,2.3207,-2.6801,6.8000,True,Wall,Untagged,1.2660,-2.7119,6.8000
3.3349,True,Wall,Untagged,2.3806,-2.6838,6.8000,True,Wall,Untagged,1.3257,-2.7163,6.8000
3.3454,True,Wall,Untagged,2.3794,-2.7956,6.8000,True,Wall,Untagged,1.3218,-2.8282,6.8000
3.3568,True,Wall,Untagged,2.3737,-2.8048,6.8000,True,Wall,Untagged,1.3159,-2.8376,6.8000
3.3685,True,Wall,Untagged,2.3247,-2.8155,6.8000,True,Wall,Untagged,1.2668,-2.8485,6.8000
3.3791,True,Wall,Untagged,2.3205,-2.8266,6.8000,True,Wall,Untagged,1.2625,-2.8599,6.8000
3.3904,True,Wall,Untagged,2.2381,-2.8365,6.8000,True,Wall,Untagged,1.1801,-2.8700,6.8000
3.4019,True,Wall,Untagged,2.2325,-2.8495,6.8000,True,Wall,Untagged,1.1742,-2.8830,6.8000
3.4133,True,Wall,Untagged,2.2992,-2.7322,6.8000,True,Wall,Untagged,1.2436,-2.7656,6.8000
3.4238,True,Wall,Untagged,2.4551,-2.7406,6.8000,True,Wall,Untagged,1.3988,-2.7742,6.8000
3.4349,True,Wall,Untagged,2.5482,-2.8005,6.8000,True,Wall,Untagged,1.4901,-2.8346,6.8000
3.4461,True,Wall,Untagged,2.4583,-2.8129,6.8000,True,Wall,Untagged,1.4002,-2.8472,6.8000
3.4574,True,Wall,Untagged,2.4542,-2.8203,6.8000,True,Wall,Untagged,1.3960,-2.8550,6.8000
3.4685,True,Wall,Untagged,2.4513,-2.8270,6.8000,True,Wall,Untagged,1.3929,-2.8618,6.8000
3.4797,True,Wall,Untagged,2.5855,-2.9038,6.8000,True,Wall,Untagged,1.5248,-2.9393,6.8000
3.4909,True,Wall,Untagged,2.4732,-2.8279,6.8000,True,Wall,Untagged,1.4148,-2.8637,6.8000
3.5019,True,Wall,Untagged,2.4813,-2.8772,6.8000,True,Wall,Untagged,1.4217,-2.9136,6.8000
3.5128,True,Wall,Untagged,2.4705,-2.8801,6.8000,True,Wall,Untagged,1.4109,-2.9168,6.8000
3.5239,True,Wall,Untagged,2.4676,-2.8931,6.8000,True,Wall,Untagged,1.4077,-2.9304,6.8000
3.5351,True,Wall,Untagged,2.4691,-2.8988,6.8000,True,Wall,Untagged,1.4092,-2.9367,6.8000
3.5461,True,Wall,Untagged,2.3596,-2.8502,6.8000,True,Wall,Untagged,1.3013,-2.8885,6.8000
3.5575,True,Wall,Untagged,2.3581,-2.8595,6.8000,True,Wall,Untagged,1.2996,-2.8981,6.8000
3.5688,True,Wall,Untagged,2.4680,-2.8269,6.8000,True,Wall,Untagged,1.4100,-2.8659,6.8000
3.5799,True,Wall,Untagged,2.4665,-2.8545,6.8000,True,Wall,Untagged,1.4079,-2.8938,6.8000
3.5922,True,Wall,Untagged,2.4600,-2.8647,6.8000,True,Wall,Untagged,1.4012,-2.9043,6.8000
