Timestamp,LeftHit,LeftHitObject,LeftHitTag,LeftHitX,LeftHitY,LeftHitZ,RightHit,RightHitObject,RightHitTag,RightHitX,RightHitY,RightHitZ
0.0000,True,Pitching Machine Cube,Untagged,2.3338,2.9372,-33.1200,True,Wall,Untagged,1.1293,3.7971,-19.2000
0.0113,True,Pitching Machine Cube,Untagged,2.3276,2.9396,-33.1200,True,Wall,Untagged,1.1169,3.8011,-19.2000
0.0226,True,Pitching Machine Cube,Untagged,2.3697,2.9665,-33.1200,True,Wall,Untagged,1.2011,3.8550,-19.2000
0.0328,True,Pitching Machine Cube,Untagged,2.3418,2.9386,-33.1200,True,Wall,Untagged,1.1454,3.7996,-19.2000
0.0442,True,Pitching Machine Cube,Untagged,2.3369,2.9409,-33.1200,True,Wall,Untagged,1.1357,3.8042,-19.2000
0.0555,True,Pitching Machine Cube,Untagged,2.3817,2.9111,-33.1200,True,Wall,Untagged,1.2258,3.7450,-19.2000
0.0666,True,Pitching Machine Cube,Untagged,2.3790,2.9137,-33.1200,True,Wall,Untagged,1.2202,3.7507,-19.2000
0.0782,True,Pitching Machine Cube,Untagged,2.3804,2.8687,-33.1200,True,Wall,Untagged,1.2234,3.6609,-19.2000
0.0901,True,Pitching Machine Cube,Untagged,2.3796,2.8654,-33.1200,True,Wall,Untagged,1.2217,3.6540,-19.2000
0.1146,True,Pitching Machine Cube,Untagged,2.3795,2.8259,-33.1200,True,Wall,Untagged,1.2218,3.5746,-19.2000
0.1227,True,Pitching Machine Cube,Untagged,2.3789,2.8257,-33.1200,True,Wall,Untagged,1.2207,3.5741,-19.2000
0.1327,True,Pitching Machine Cube,Untagged,2.3898,2.8249,-33.1200,True,Wall,Untagged,1.2423,3.5725,-19.2000
0.1434,True,Pitching Machine Cube,Untagged,2.4068,2.8285,-33.1200,True,Wall,Untagged,1.2764,3.5803,-19.2000
0.1565,True,Pitching Machine Cube,Untagged,2.4426,2.8152,-33.1200,True,Pitching Machine Cube,Untagged,1.7568,2.8079,-33.1200
0.1673,True,Pitching Machine Cube,Untagged,2.4488,2.7709,-33.1200,True,Pitching Machine Cube,Untagged,1.7632,2.7636,-33.1200
0.1782,True,Pitching Machine Cube,Untagged,2.4552,2.7689,-33.1200,True,Pitching Machine Cube,Untagged,1.7695,2.7615,-33.1200
0.1889,True,Pitching Machine Cube,Untagged,2.4410,2.8054,-33.1200,True,Pitching Machine Cube,Untagged,1.7553,2.7977,-33.1200
0.2005,True,Pitching Machine Cube,Untagged,2.4460,2.8073,-33.1200,True,Pitching Machine Cube,Untagged,1.7602,2.7994,-33.1200
0.2113,True,Pitching Machine Cube,Untagged,2.4368,2.7774,-33.1200,True,Pitching Machine Cube,Untagged,1.7512,2.7694,-33.1200
0.2238,True,Pitching Machine Cube,Untagged,2.3999,2.8093,-33.1200,True,Wall,Untagged,1.2626,3.5409,-19.2000
0.2343,True,Pitching Machine Cube,Untagged,2.4007,2.8082,-33.1200,True,Wall,Untagged,1.2642,3.5386,-19.2000
0.2451,True,Pitching Machine Cube,Untagged,2.3983,2.8127,-33.1200,True,Wall,Untagged,1.2595,3.5473,-19.2000
0.2701,True,Pitching Machine Cube,Untagged,2.3900,2.8438,-33.1200,True,Wall,Untagged,1.2426,3.6092,-19.2000
0.2788,True,Pitching Machine Cube,Untagged,2.3895,2.8440,-33.1200,True,Wall,Untagged,1.2416,3.6096,-19.2000
0.2886,True,Pitching Machine Cube,Untagged,2.3873,2.8457,-33.1200,True,Wall,Untagged,1.2373,3.6128,-19.2000
0.2997,True,Pitching Machine Cube,Untagged,2.3803,2.8340,-33.1200,True,Wall,Untagged,1.2233,3.5895,-19.2000
0.3121,True,Pitching Machine Cube,Untagged,2.4026,2.7813,-33.1200,True,Wall,Untagged,1.2683,3.4839,-19.2000
