Timestamp,LeftHit,LeftHitObject,LeftHitTag,LeftHitX,LeftHitY,LeftHitZ,RightHit,RightHitObject,RightHitTag,RightHitX,RightHitY,RightHitZ
0.0000,True,Wall,Untagged,-9.6557,-17.5926,6.8000,True,Wall,Untagged,-11.5407,-17.8668,6.8000
0.0111,True,Wall,Untagged,-9.6803,-17.5860,6.8000,True,Wall,Untagged,-11.5676,-17.8666,6.8000
0.0217,True,Wall,Untagged,-9.7237,-17.5014,6.8000,True,Wall,Untagged,-11.6109,-17.7875,6.8000
0.0328,True,Wall,Untagged,-9.7820,-17.4760,6.8000,True,Wall,Untagged,-11.6726,-17.7703,6.8000
0.0441,True,Wall,Untagged,-9.8901,-17.7195,6.8000,True,Wall,Untagged,-11.7986,-18.0281,6.8000
0.0589,True,Wall,Untagged,-9.9417,-17.6752,6.8000,True,Wall,Untagged,-11.8524,-17.9902,6.8000
0.0660,True,Wall,Untagged,-10.0372,-17.7314,6.8000,True,Wall,Untagged,-11.9567,-18.0562,6.8000
0.0776,True,Wall,Untagged,-10.0854,-17.7167,6.8000,True,Wall,Untagged,-12.0083,-18.0486,6.8000
0.0884,True,Wall,Untagged,-10.1221,-17.7082,6.8000,True,Wall,Untagged,-12.0483,-18.0480,6.8000
0.0997,True,Wall,Untagged,-10.0600,-17.6680,6.8000,True,Wall,Untagged,-11.9840,-18.0148,6.8000
0.1107,True,Wall,Untagged,-10.0752,-17.6755,6.8000,True,Wall,Untagged,-12.0027,-18.0319,6.8000
0.1218,True,Wall,Untagged,-10.1253,-17.6804,6.8000,True,Wall,Untagged,-12.0573,-18.0451,6.8000
0.1335,True,Wall,Untagged,-9.8716,-17.6355,6.8000,True,Wall,Untagged,-11.7929,-18.0071,6.8000
0.1443,True,Wall,Untagged,-9.8559,-17.5421,6.8000,True,Wall,Untagged,-11.7741,-17.9185,6.8000
0.1554,True,Wall,Untagged,-9.8559,-17.5963,6.8000,True,Wall,Untagged,-11.7791,-17.9839,6.8000
0.1665,True,Wall,Untagged,-9.9020,-17.6350,6.8000,True,Wall,Untagged,-11.8310,-18.0322,6.8000
0.1779,True,Wall,Untagged,-9.9569,-17.6933,6.8000,True,Wall,Untagged,-11.8933,-18.1015,6.8000
0.1892,True,Wall,Untagged,-9.8512,-17.7360,6.8000,True,Wall,Untagged,-11.7873,-18.1549,6.8000
0.2004,True,Wall,Untagged,-9.8982,-18.0598,6.8000,True,Wall,Untagged,-11.8543,-18.5002,6.8000
0.2116,True,Wall,Untagged,-9.9432,-18.1781,6.8000,True,Wall,Untagged,-11.9097,-18.6343,6.8000
0.2225,True,Wall,Untagged,-10.0109,-18.3408,6.8000,True,Wall,Untagged,-11.9908,-18.8133,6.8000
0.2333,True,Wall,Untagged,-9.9319,-18.3060,6.8000,True,Wall,Untagged,-11.9089,-18.7874,6.8000
0.2445,True,Wall,Untagged,-9.9720,-18.3510,6.8000,True,Wall,Untagged,-11.9550,-18.8430,6.8000
0.2555,True,Wall,Untagged,-10.0116,-18.3821,6.8000,True,Wall,Untagged,-11.9998,-18.8833,6.8000
0.2668,True,Wall,Untagged,-9.9419,-18.2769,6.8000,True,Wall,Untagged,-11.9232,-18.7807,6.8000
0.2780,True,Wall,Untagged,-9.8351,-17.8937,6.8000,True,Wall,Untagged,-11.7946,-18.3909,6.8000
0.2889,True,Wall,Untagged,-9.8703,-17.8812,6.8000,True,Wall,Untagged,-11.8331,-18.3888,6.8000
0.3003,True,Wall,Untagged,-9.9056,-17.8664,6.8000,True,Wall,Untagged,-11.8712,-18.3817,6.8000
0.3116,True,Wall,Untagged,-9.9513,-17.8536,6.8000,True,Wall,Untagged,-11.9199,-18.3746,6.8000
0.3226,True,Wall,Untagged,-9.9953,-17.8579,6.8000,True,Wall,Untagged,-11.9672,-18.3833,6.8000
0.3337,True,Wall,Untagged,-9.8277,-17.7559,6.8000,True,Wall,Untagged,-11.7876,-18.2810,6.8000
0.3447,True,Wall,Untagged,-9.8709,-17.7538,6.8000,True,Wall,Untagged,-11.8339,-18.2840,6.8000
0.3559,True,Wall,Untagged,-9.8829,-17.5559,6.8000,True,Wall,Untagged,-11.8381,-18.0837,6.8000
0.3674,True,Wall,Untagged,-10.0415,-17.4417,6.8000,True,Wall,Untagged,-12.0002,-17.9709,6.8000
0.3783,True,Wall,Untagged,-11.7469,-17.3979,6.8000,True,Wall,Untagged,-13.7932,-17.9408,6.8000
0.3894,True,Wall,Untagged,-12.5361,-17.6103,6.8000,True,Wall,Untagged,-14.6375,-18.1712,6.8000
0.4006,True,Wall,Untagged,-12.5825,-17.6116,6.8000,True,Wall,Untagged,-14.6879,-18.1765,6.8000
0.4114,True,Wall,Untagged,-12.8778,-17.7491,6.8000,True,Wall,Untagged,-15.0081,-18.3253,6.8000
0.4231,True,Wall,Untagged,-12.9246,-17.7495,6.8000,True,Wall,Untagged,-15.0589,-18.3298,6.8000
0.4343,True,Wall,Untagged,-12.7394,-17.7140,6.8000,True,Wall,Untagged,-14.8630,-18.2962,6.8000
0.4454,True,Wall,Untagged,-12.8778,-17.7422,6.8000,True,Wall,Untagged,-15.0119,-18.3297,6.8000
0.4560,True,Wall,Untagged,-12.6852,-17.6840,6.8000,True,Wall,Untagged,-14.8065,-18.2708,6.8000
0.4674,True,Wall,Untagged,-12.7247,-17.6827,6.8000,True,Wall,Untagged,-14.8493,-18.2728,6.8000
0.4785,True,Wall,Untagged,-12.7742,-17.8285,6.8000,True,Wall,Untagged,-14.9097,-18.4277,6.8000
0.4896,True,Wall,Untagged,-12.7953,-17.8213,6.8000,True,Wall,Untagged,-14.9322,-18.4218,6.8000
0.5005,True,Wall,Untagged,-12.7071,-17.8111,6.8000,True,Wall,Untagged,-14.8392,-18.4131,6.8000
0.5118,True,Wall,Untagged,-12.6387,-17.7192,6.8000,True,Wall,Untagged,-14.7632,-18.3202,6.8000
0.5229,True,Wall,Untagged,-12.6488,-17.7276,6.8000,True,Wall,Untagged,-14.7752,-18.3321,6.8000
0.5343,True,Wall,Untagged,-12.5631,-17.7089,6.8000,True,Wall,Untagged,-14.6843,-18.3146,6.8000
0.5452,True,Wall,Untagged,-12.5747,-17.6988,6.8000,True,Wall,Untagged,-14.6965,-18.3057,6.8000
0.5567,True,Wall,Untagged,-13.4898,-16.9584,6.8000,True,Wall,Untagged,-15.6288,-17.5395,6.8000
0.5682,True,Wall,Untagged,-13.4855,-16.9480,6.8000,True,Wall,Untagged,-15.6241,-17.5299,6.8000
0.5789,True,Wall,Untagged,-14.6859,-15.1296,6.8000,True,Wall,Untagged,-16.8099,-15.6428,6.8000
0.5902,True,Wall,Untagged,-14.6452,-15.1205,6.8000,True,Wall,Untagged,-16.7659,-15.6338,6.8000
0.6012,True,Wall,Untagged,-15.2156,-14.7530,6.8000,True,Wall,Untagged,-17.3555,-15.2570,6.8000
0.6120,True,Wall,Untagged,-15.4897,-14.6875,6.8000,True,Wall,Untagged,-17.6447,-15.1932,6.8000
0.6237,True,Wall,Untagged,-15.1956,-14.5887,6.8000,True,Wall,Untagged,-17.3271,-15.0897,6.8000
0.6344,True,Wall,Untagged,-15.1783,-14.5624,6.8000,True,Wall,Untagged,-17.3078,-15.0636,6.8000
0.6455,True,Wall,Untagged,-15.1294,-14.4110,6.8000,True,Wall,Untagged,-17.2486,-14.9056,6.8000
0.6569,True,Wall,Untagged,-15.0862,-14.3688,6.8000,True,Wall,Untagged,-17.2008,-14.8619,6.8000
0.6682,True,Wall,Untagged,-15.0739,-14.3318,6.8000,True,Wall,Untagged,-17.1859,-14.8231,6.8000
0.6794,True,Wall,Untagged,-15.0587,-14.3156,6.8000,True,Wall,Untagged,-17.1691,-14.8073,6.8000
0.6902,True,Wall,Untagged,-15.0164,-14.2099,6.8000,True,Wall,Untagged,-17.1192,-14.6971,6.8000
0.7014,True,Wall,Untagged,-15.0243,-14.1971,6.8000,True,Wall,Untagged,-17.1271,-14.6842,6.8000
0.7124,True,Wall,Untagged,-15.0253,-14.1968,6.8000,True,Wall,Untagged,-17.1282,-14.6842,6.8000
0.7237,True,Wall,Untagged,-15.1360,-14.2624,6.8000,True,Wall,Untagged,-17.2491,-14.7531,6.8000
0.7354,True,Wall,Untagged,-15.1540,-14.3850,6.8000,True,Wall,Untagged,-17.2738,-14.8806,6.8000
0.7461,True,Wall,Untagged,-15.1456,-14.3657,6.8000,True,Wall,Untagged,-17.2635,-14.8591,6.8000
0.7571,True,Wall,Untagged,-15.1304,-14.3510,6.8000,True,Wall,Untagged,-17.2463,-14.8433,6.8000
