Timestamp,LeftHit,LeftHitObject,LeftHitTag,LeftHitX,LeftHitY,LeftHitZ,RightHit,RightHitObject,RightHitTag,RightHitX,RightHitY,RightHitZ
0.0000,True,Wall,Untagged,1.2315,7.6159,6.8000,True,Wall,Untagged,0.2854,7.6305,6.8000
0.0122,True,Wall,Untagged,1.2282,7.6149,6.8000,True,Wall,Untagged,0.2821,7.6297,6.8000
0.0231,True,Wall,Untagged,1.2281,7.6155,6.8000,True,Wall,Untagged,0.2820,7.6304,6.8000
0.0333,True,Wall,Untagged,1.2637,7.5127,6.8000,True,Wall,Untagged,0.3178,7.5274,6.8000
0.0442,True,Wall,Untagged,1.2715,7.5526,6.8000,True,Wall,Untagged,0.3255,7.5674,6.8000
0.0556,True,Wall,Untagged,1.3408,7.4948,6.8000,True,Wall,Untagged,0.3949,7.5095,6.8000
0.0672,True,Wall,Untagged,1.4296,7.5513,6.8000,True,Wall,Untagged,0.4835,7.5662,6.8000
0.0782,True,Wall,Untagged,1.4323,7.5520,6.8000,True,Wall,Untagged,0.4861,7.5669,6.8000
0.0890,True,Wall,Untagged,1.4310,7.5553,6.8000,True,Wall,Untagged,0.4848,7.5703,6.8000
0.1004,True,Wall,Untagged,2.2769,8.2312,6.8000,True,Wall,Untagged,1.3260,8.2470,6.8000
0.1391,True,Wall,Untagged,6.0925,9.0165,6.8000,True,Wall,Untagged,5.1027,9.0334,6.8000
0.1554,True,Wall,Untagged,7.1162,9.4332,6.8000,True,Wall,Untagged,6.1080,9.4509,6.8000
0.1661,True,Wall,Untagged,7.8272,9.5248,6.8000,True,Wall,Untagged,6.8061,9.5426,6.8000
0.1772,True,Wall,Untagged,7.8270,9.5228,6.8000,True,Wall,Untagged,6.8059,9.5407,6.8000
0.1883,True,Wall,Untagged,7.9005,9.5258,6.8000,True,Wall,Untagged,6.8781,9.5437,6.8000
0.1993,True,Wall,Untagged,7.9003,9.5255,6.8000,True,Wall,Untagged,6.8779,9.5439,6.8000
0.2124,True,Wall,Untagged,7.9038,9.5158,6.8000,True,Wall,Untagged,6.8815,9.5346,6.8000
0.2218,True,Wall,Untagged,7.9419,9.4093,6.8000,True,Wall,Untagged,6.9197,9.4288,6.8000
0.2322,True,Wall,Untagged,8.0314,9.2733,6.8000,True,Wall,Untagged,7.0085,9.2928,6.8000
0.2434,True,Wall,Untagged,8.0285,9.2738,6.8000,True,Wall,Untagged,7.0057,9.2931,6.8000
0.2551,True,Wall,Untagged,8.0544,9.2102,6.8000,True,Wall,Untagged,7.0316,9.2291,6.8000
0.2661,True,Wall,Untagged,8.0548,9.2098,6.8000,True,Wall,Untagged,7.0319,9.2284,6.8000
0.2779,True,Wall,Untagged,8.0566,9.2547,6.8000,True,Wall,Untagged,7.0334,9.2731,6.8000
0.2881,True,Wall,Untagged,8.0567,9.2607,6.8000,True,Wall,Untagged,7.0334,9.2787,6.8000
0.2986,True,Wall,Untagged,7.9997,9.2606,6.8000,True,Wall,Untagged,6.9774,9.2786,6.8000
0.3106,True,Wall,Untagged,7.9996,9.2673,6.8000,True,Wall,Untagged,6.9774,9.2852,6.8000
0.3214,True,Wall,Untagged,6.0558,8.6020,6.8000,True,Wall,Untagged,5.0690,8.6187,6.8000
0.3323,True,Wall,Untagged,4.8018,8.5490,6.8000,True,Wall,Untagged,3.8308,8.5653,6.8000
0.3443,True,Wall,Untagged,4.8011,8.5512,6.8000,True,Wall,Untagged,3.8301,8.5673,6.8000
0.3552,True,Wall,Untagged,4.7998,8.5524,6.8000,True,Wall,Untagged,3.8289,8.5684,6.8000
0.3669,True,Wall,Untagged,4.7953,8.5046,6.8000,True,Wall,Untagged,3.8246,8.5204,6.8000
0.3761,True,Wall,Untagged,4.8313,8.5028,6.8000,True,Wall,Untagged,3.8603,8.5187,6.8000
0.3870,True,Wall,Untagged,4.8733,8.5229,6.8000,True,Wall,Untagged,3.9018,8.5388,6.8000
0.3979,True,Wall,Untagged,4.8695,8.5176,6.8000,True,Wall,Untagged,3.8981,8.5337,6.8000
0.4095,True,Wall,Untagged,4.8640,8.5173,6.8000,True,Wall,Untagged,3.8927,8.5332,6.8000
0.4200,True,Wall,Untagged,4.8622,8.5165,6.8000,True,Wall,Untagged,3.8910,8.5323,6.8000
0.4315,True,Wall,Untagged,4.8745,8.5114,6.8000,True,Wall,Untagged,3.9032,8.5272,6.8000
0.4422,True,Wall,Untagged,4.9531,8.5137,6.8000,True,Wall,Untagged,3.9809,8.5297,6.8000
0.4534,True,Wall,Untagged,5.8709,8.6602,6.8000,True,Wall,Untagged,4.8866,8.6769,6.8000
0.4642,True,Wall,Untagged,7.4620,8.8615,6.8000,True,Wall,Untagged,6.4521,8.8789,6.8000
0.4753,True,Wall,Untagged,7.4673,8.8637,6.8000,True,Wall,Untagged,6.4572,8.8813,6.8000
0.4883,True,Wall,Untagged,7.9734,9.0289,6.8000,True,Wall,Untagged,6.9531,9.0466,6.8000
0.4978,True,Wall,Untagged,8.0017,9.0297,6.8000,True,Wall,Untagged,6.9808,9.0476,6.8000
0.5089,True,Wall,Untagged,8.0043,9.0323,6.8000,True,Wall,Untagged,6.9832,9.0499,6.8000
0.5200,True,Wall,Untagged,8.0088,9.0074,6.8000,True,Wall,Untagged,6.9877,9.0249,6.8000
0.5307,True,Wall,Untagged,8.0109,9.0079,6.8000,True,Wall,Untagged,6.9897,9.0253,6.8000
0.5432,True,Wall,Untagged,8.0644,8.9961,6.8000,True,Wall,Untagged,7.0423,9.0134,6.8000
0.5530,True,Wall,Untagged,8.0581,8.9351,6.8000,True,Wall,Untagged,7.0364,8.9526,6.8000
0.5639,True,Wall,Untagged,8.0618,8.8855,6.8000,True,Wall,Untagged,7.0404,8.9031,6.8000
0.5756,True,Wall,Untagged,8.0934,8.8822,6.8000,True,Wall,Untagged,7.0714,8.8999,6.8000
0.5883,True,Wall,Untagged,8.0916,8.8822,6.8000,True,Wall,Untagged,7.0697,8.8999,6.8000
0.5973,True,Wall,Untagged,8.0864,8.8784,6.8000,True,Wall,Untagged,7.0648,8.8964,6.8000
0.6079,True,Wall,Untagged,8.0907,8.8752,6.8000,True,Wall,Untagged,7.0690,8.8934,6.8000
0.6187,True,Wall,Untagged,8.0803,8.9754,6.8000,True,Wall,Untagged,7.0583,8.9937,6.8000
0.6297,True,Wall,Untagged,8.0743,8.9742,6.8000,True,Wall,Untagged,7.0526,8.9926,6.8000
0.6405,True,Wall,Untagged,7.5711,9.0528,6.8000,True,Wall,Untagged,6.5580,9.0711,6.8000
0.6517,True,Wall,Untagged,5.5022,9.0303,6.8000,True,Wall,Untagged,4.5203,9.0482,6.8000
0.6626,True,Wall,Untagged,3.5989,9.0955,6.8000,True,Wall,Untagged,2.6356,9.1129,6.8000
0.6737,True,Wall,Untagged,3.5978,9.0952,6.8000,True,Wall,Untagged,2.6345,9.1125,6.8000
0.6851,True,Wall,Untagged,3.5974,9.0981,6.8000,True,Wall,Untagged,2.6341,9.1153,6.8000
0.6964,True,Wall,Untagged,2.3786,9.6290,6.8000,True,Wall,Untagged,1.4182,9.6465,6.8000
0.7075,True,Wall,Untagged,1.1733,9.7009,6.8000,True,Wall,Untagged,0.2151,9.7182,6.8000
0.7183,True,Wall,Untagged,0.6824,9.7079,6.8000,True,Wall,Untagged,-0.2759,9.7251,6.8000
0.7296,True,Wall,Untagged,0.1853,9.6895,6.8000,True,Wall,Untagged,-0.7736,9.7066,6.8000
0.7410,True,Wall,Untagged,0.1852,9.6893,6.8000,True,Wall,Untagged,-0.7737,9.7061,6.8000
