Timestamp,LeftHit,LeftHitObject,LeftHitTag,LeftHitX,LeftHitY,LeftHitZ,RightHit,RightHitObject,RightHitTag,RightHitX,RightHitY,RightHitZ
0.0000,True,Wall,Untagged,-2.1979,1.7141,6.8000,True,Wall,Untagged,-3.1787,1.6646,6.8000
0.0119,True,Wall,Untagged,-1.8560,1.4013,6.8000,True,Wall,Untagged,-2.8379,1.3510,6.8000
0.0223,True,Wall,Untagged,-1.7867,1.4061,6.8000,True,Wall,Untagged,-2.7679,1.3561,6.8000
0.0335,True,Wall,Untagged,-1.7859,1.4047,6.8000,True,Wall,Untagged,-2.7671,1.3547,6.8000
0.0449,True,Wall,Untagged,-1.7848,1.4050,6.8000,True,Wall,Untagged,-2.7660,1.3552,6.8000
0.0558,True,Wall,Untagged,-1.7467,1.4077,6.8000,True,Wall,Untagged,-2.7275,1.3580,6.8000
0.0671,True,Wall,Untagged,-1.7441,1.4070,6.8000,True,Wall,Untagged,-2.7249,1.3574,6.8000
0.0778,True,Wall,Untagged,-1.7409,1.4140,6.8000,True,Wall,Untagged,-2.7215,1.3646,6.8000
0.0890,True,Wall,Untagged,-1.7378,1.4126,6.8000,True,Wall,Untagged,-2.7184,1.3634,6.8000
0.1001,True,Wall,Untagged,-1.7105,1.4127,6.8000,True,Wall,Untagged,-2.6909,1.3637,6.8000
0.1115,True,Wall,Untagged,-1.6808,1.3959,6.8000,True,Wall,Untagged,-2.6611,1.3470,6.8000
0.1227,True,Wall,Untagged,-1.6773,1.3938,6.8000,True,Wall,Untagged,-2.6576,1.3449,6.8000
0.1339,True,Wall,Untagged,-1.6779,1.3924,6.8000,True,Wall,Untagged,-2.6582,1.3436,6.8000
0.1447,True,Wall,Untagged,-1.7043,1.3904,6.8000,True,Wall,Untagged,-2.6849,1.3416,6.8000
0.1561,True,Wall,Untagged,-1.7601,1.3705,6.8000,True,Wall,Untagged,-2.7415,1.3217,6.8000
0.1670,True,Wall,Untagged,-1.7650,1.4230,6.8000,True,Wall,Untagged,-2.7457,1.3742,6.8000
0.1782,True,Wall,Untagged,-1.7675,1.4209,6.8000,True,Wall,Untagged,-2.7482,1.3722,6.8000
0.1940,True,Wall,Untagged,-1.7273,1.4582,6.8000,True,Wall,Untagged,-2.7072,1.4097,6.8000
